"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370224.02","2021S05075370224.02","0224.02",83.5286,"35",1,114882.0165,1148820165.94531,177180.874408725,0,16545.5344896282,0,83.5286,"CT",1316,"0",1451,"0224.02","35537",4014,1350,1453,"3524002",3965,"3524","0224.02",83.5286,158000
"5500101.00","2021S05075500101.00","0101.00",214.8178,"35",1,114882.0165,1148820165.94531,177180.874408725,0,3574.60427501658,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5370081.00","2021S05075370081.00","0081.00",0.9855,"35",1,114882.0165,1148820165.94531,177180.874408725,176003.395637348,1038441.43806362,16.9488031954446,0.9855,"CT",1110,"0",1123,"0081.00","35537",2308,1099,1131,"3525005",2340,"3525","0081.00",0.9855,75500
"5370082.00","2021S05075370082.00","0082.00",1.1503,"35",1,114882.0165,1148820165.94531,177180.874408725,174819.405508222,1211947.7533206,14.4246651746526,1.1503,"CT",1761,"0",1749,"0082.00","35537",3608,1702,1839,"3525005",3526,"3525","0082.00",1.1503,62400
"5370083.00","2021S05075370083.00","0083.00",0.8586,"35",1,114882.0165,1148820165.94531,177180.874408725,17669.0577180094,904678.075970872,1.95307681122343,0.8586,"CT",1307,"0",1184,"0083.00","35537",2604,1151,1345,"3525005",2378,"3525","0083.00",0.8586,59600
"5370121.00","2021S05075370121.00","0121.00",63.2329,"35",1,114882.0165,1148820165.94531,177180.874408725,106663.349580105,66900989.3311724,0.159434637135337,63.2329,"CT",632,"0",665,"0121.00","35537",1828,632,666,"3525005",1812,"3525","0121.00",63.2329,124000
"5370124.00","2021S05075370124.00","0124.00",14.6299,"35",1,114882.0165,1148820165.94531,177180.874408725,73108.8114969542,15457151.0877503,0.472977271697192,14.6299,"CT",1645,"0",1751,"0124.00","35537",4366,1693,1702,"3525005",4505,"3525","0124.00",14.6299,123000
"5370131.00","2021S05075370131.00","0131.00",11.5088,"35",1,114882.0165,1148820165.94531,177180.874408725,238812.663240736,13521363.5645963,1.76618772285682,11.5088,"CT",1871,"0",1905,"0131.00","35537",4521,1855,1914,"3525005",4601,"3525","0131.00",11.5088,104000
"5370132.00","2021S05075370132.00","0132.00",1.1019,"35",1,114882.0165,1148820165.94531,177180.874408725,133085.642080823,1160350.19276299,11.4694376672549,1.1019,"CT",1597,"0",1581,"0132.00","35537",3119,1532,1655,"3525005",3010,"3525","0132.00",1.1019,67500
"5370141.00","2021S05075370141.00","0141.00",38.0264,"35",1,114882.0165,1148820165.94531,177180.874408725,532437.161514769,40655399.3315336,1.30963456335256,38.0264,"CT",1455,"0",1486,"0141.00","35537",4035,1450,1492,"3525005",3993,"3525","0141.00",38.0264,129000
